Triage_ID,Vehicle_ID,Speed_kmph,Brake_Applied,Curve_Type,VRU_Detected,Issue_Type,Location,Triage_Time_Min
TID1000,VID319,49.97,Yes,S-curve,No,Late Brake,Chennai,26.2
TID1001,VID652,43.62,Yes,Left Curve,Yes,No Brake,Bangalore,21.09
TID1002,VID235,51.48,No,Right Curve,No,Sensor Glitch,Hyderabad,36.11
TID1003,VID840,60.23,No,Straight,No,False VRU Detection,Hyderabad,18.81
TID1004,VID684,42.66,No,S-curve,Yes,Sensor Glitch,Ahmedabad,27.62
TID1005,VID690,42.66,Yes,Straight,No,Over Speed,Ahmedabad,21.33
TID1006,VID584,60.79,Yes,Left Curve,Yes,No Brake,Pune,23.23
TID1007,VID348,52.67,No,Left Curve,No,Over Speed,Chennai,27.27
TID1008,VID903,40.31,Yes,Left Curve,Yes,No Brake,Pune,31.12
TID1009,VID584,50.43,No,S-curve,No,Over Speed,Ahmedabad,33.12
TID1010,VID926,40.37,No,Right Curve,Yes,Sensor Glitch,Bangalore,17.32
TID1011,VID516,40.34,Yes,S-curve,No,Sensor Glitch,Ahmedabad,26.34
TID1012,VID294,47.42,No,Straight,No,Late Brake,Chennai,32.3
TID1013,VID196,25.87,No,S-curve,No,False VRU Detection,Ahmedabad,16.57
TID1014,VID199,27.75,Yes,Straight,Yes,Over Speed,Chennai,26.57
TID1015,VID774,39.38,No,S-curve,No,Curve Misjudgment,Chennai,24.99
TID1016,VID541,34.87,Yes,Right Curve,Yes,Late Brake,Chennai,27.07
TID1017,VID462,48.14,No,Straight,No,Over Speed,Chennai,21.14
TID1018,VID533,35.92,Yes,Left Curve,Yes,Over Speed,Chennai,17.82
TID1019,VID520,30.88,No,Left Curve,Yes,Late Brake,Bangalore,15.43
TID1020,VID578,59.66,Yes,S-curve,Yes,Sensor Glitch,Pune,29.88
TID1021,VID984,42.74,Yes,Left Curve,No,Over Speed,Hyderabad,30.52
TID1022,VID846,45.68,No,Straight,No,Sensor Glitch,Pune,26.51
TID1023,VID155,30.75,Yes,Left Curve,Yes,Late Brake,Chennai,22.33
TID1024,VID789,39.56,Yes,Right Curve,No,Sensor Glitch,Bangalore,16.88
TID1025,VID769,46.11,No,Right Curve,No,No Brake,Ahmedabad,27.82
TID1026,VID761,33.49,No,S-curve,No,Curve Misjudgment,Bangalore,19.5
TID1027,VID200,48.76,Yes,Straight,No,Over Speed,Chennai,21.44
TID1028,VID162,38.99,Yes,Right Curve,No,False VRU Detection,Bangalore,22.07
TID1029,VID512,42.08,Yes,Right Curve,No,Curve Misjudgment,Bangalore,24.01
TID1030,VID845,38.98,Yes,Straight,Yes,Sensor Glitch,Chennai,21.2
TID1031,VID447,63.52,Yes,Left Curve,Yes,Over Speed,Bangalore,25.17
TID1032,VID919,44.87,Yes,Left Curve,No,Sensor Glitch,Hyderabad,21.89
TID1033,VID982,34.42,No,S-curve,No,No Brake,Hyderabad,28.51
TID1034,VID211,53.23,No,Left Curve,Yes,Late Brake,Bangalore,30.16
TID1035,VID354,32.79,No,Straight,Yes,Over Speed,Ahmedabad,25.54
TID1036,VID296,47.09,Yes,Right Curve,No,No Brake,Chennai,27.31
TID1037,VID294,25.4,Yes,Left Curve,No,No Brake,Hyderabad,35.59
TID1038,VID649,31.72,Yes,S-curve,Yes,Over Speed,Ahmedabad,19.14
TID1039,VID559,46.97,Yes,Left Curve,Yes,Sensor Glitch,Bangalore,18.83
TID1040,VID243,52.38,Yes,Straight,No,False VRU Detection,Ahmedabad,28.47
TID1041,VID532,46.71,No,S-curve,No,No Brake,Pune,34.73
TID1042,VID287,43.84,Yes,Left Curve,Yes,Curve Misjudgment,Hyderabad,23.7
TID1043,VID385,41.99,Yes,S-curve,Yes,No Brake,Bangalore,33.63
TID1044,VID573,30.21,Yes,Straight,Yes,False VRU Detection,Chennai,25.48
TID1045,VID355,37.8,No,Right Curve,No,Sensor Glitch,Bangalore,21.6
